id,tier,categoria,slug,parte,complementar,grupo,arquivo_pronto,arquivo_original,resumo_curadoria,texto_ocr,tags,metricas_detectadas,telefones_borrados,frente_produto_sugerida,uso_sugerido,notas
DEP-011,hero,metricas,ciclo-vendas-15-21-para-1-7-dias,,,,depoimentos-2026-ready/hero/hero_metricas_ciclo-vendas-15-21-para-1-7-dias.png,IMG_7351.PNG,"Cliente diz que ligar reduziu o ciclo de vendas de 15–21 dias para 1–7 dias, com impacto financeiro “imensurável”.","Usa algum CRM?
Novas mensagens
Criei um no notion mesmo
Um kanban. Mas vou migrar para 0
agendor ou hubspot. Criei no notion
só para não ficar procrastinando por
não ter assinado crm
Ligar diminuiu demais meu ciclo de
vendas. Eu estimo que levaria entre
15 e 21 dias para conseguir levar 0
cara para uma call.
Ligando eu
resolvo isso em 1a 7 dias
tanto de dinheiro e 0 fluxo de
caixa que isso significa no longo
prazo. Imensurável","resultado-mensurável, ciclo-de-vendas, fluxo-de-caixa, ligações, hero-candidate",,0,,,
DEP-012,hero,metricas,fechamento-site-ligacao-fria,,,,depoimentos-2026-ready/hero/hero_metricas_fechamento-site-ligacao-fria.png,IMG_0108.PNG,Jonathan relata fechamento de venda de 1 site após ligação fria + follow-up no WhatsApp; workshop era “última alternativa”.,"Jonathan
Opa romulo; ce disse no workshop
que queria meu feedback pq eu
tava apostando como última
alternativa né?
Acabamos de fechar uma venda de
1 site agora'!
fria,
Ligação totalmente
follow ups
whatzapp
pelo
2
Booooooaaaaaaaaa
16.52
Aí sim poxall!!","fechamento, resultado_financeiro, ligacao_fria, metodo_funcionou, prova_social",cold_call; workshop,1,,,
DEP-013,hero,metricas,izabela-4-reunioes-na-semana,1,,,depoimentos-2026-ready/hero/hero_metricas_izabela-4-reunioes-na-semana_parte-1.png,FC7F3CB4-4ABE-4AE1-87F3-9E72DFC144EB.PNG,Izabela: a live a “destravou” e na semana foram **4 reuniões agendadas por ligação**.,"Izabela
agora
Comunidade Pódium: Construindo E..
Essa semana foram 4 reuniões agendadas
PODIU
por ligação
Odeio quem cospe no chão
Eoque isso temaver com ligações
Rômulo Freitas
Cold Call |
Prospecção Ativa no Instagr_
instagram.com
12.44
Odeio quem cospe no chão
12.44
Mensagens não lidas: 2","destravar, métrica, reuniões, cold call, resultado",cold_call; destravamento; reunioes,0,,,
DEP-014,hero,metricas,izabela-4-reunioes-na-semana,2,,,depoimentos-2026-ready/hero/hero_metricas_izabela-4-reunioes-na-semana_parte-2.png,FC7F3CB4-4ABE-4AE1-87F3-9E72DFC144EB.PNG,Izabela: a live a “destravou” e na semana foram **4 reuniões agendadas por ligação**.,"Izabela
Pessoal, tudo bem? Romulo;
acompanhei a tua última Live de
ligação que teve essa semana e
você conseguiu me destravar
Essa semana foram 4 reuniões
agendadas por ligação","destravar, métrica, reuniões, cold call, resultado",destravamento; reunioes,1,,,
DEP-015,hero,metricas,joao-8-ligacoes-2-compras-1-upsell,,,,depoimentos-2026-ready/hero/hero_metricas_joao-8-ligacoes-2-compras-1-upsell.png,IMG_6750.PNG,Aluno relata 8 ligações no dia com 2 vendas e 1 upsell após aprender follow-up por ligação.,"João Vitor
~
Nesse grupo aprendi que follow up
é por ligação; já fiz 8 ligações hoje,
2 compras e 1 upsell. Resultado
muito bom.","resultados, vendas, follow-up, métricas, prova-social",compras; ligacoes; upsell; vendas,1,,,
DEP-016,hero,metricas,lucas-30-ligacoes-3-reunioes-1-venda,,,,depoimentos-2026-ready/hero/hero_metricas_lucas-30-ligacoes-3-reunioes-1-venda.png,IMG_1743.PNG,Lucas: 30 ligações → 10 atenderam → 5 decisores → 3 reuniões → 1 venda no mesmo dia.,"Lucas Ribeiro Mentorado
Boa noite galera passando as
minhas atualizações do dia Fiz 30
ligacoes, 10 atenderam; falei com 5
decisores e marquei 3 reuniões.
Dessas ligações de hoje fiz uma
reunião hoje pela tarde e 1 venda já
foi feita Vamos pra cima","agendamento, fechamento, metricas_de_vendas, metodo_funcionou, prova_social",ligacoes; mentoria; reunioes; vendas,0,,,
DEP-017,hero,metricas,maycon-aplica-reuniao-de-alinhamento-da,,,,depoimentos-2026-ready/hero/hero_metricas_maycon-aplica-reuniao-de-alinhamento-da.png,IMG_3001.PNG,Maycon aplica reunião de alinhamento da mentoria e tem insight forte do cliente.,"Maycon Ferraz
Bom dia @Rômulo Freitas
Acabei de fazer a reunião de
alinhamento como você me
explicou na segunda na mentoria; e
foi simplesmente foda.
Nunca tinha feito dessa maneira 0
cliente falou tudo os motivos do
porquê ele tá me pagando e
porque trocou 0 antigo pessoal; e
assim primeira vez que eu tô
começando um projeto bem.
Muito obrigado.
08.43","mentoria, técnica prática, projeto, gratidão, resultado imediato",mentoria,0,,,
DEP-018,hero,metricas,medo-2-anos-para-10-ligacoes,,,,depoimentos-2026-ready/hero/hero_metricas_medo-2-anos-para-10-ligacoes.png,IMG_4176.PNG,Maycon destrava medo de 2 anos e faz 10 ligações; workshop = “melhores R$50”.,"Maycon Ferraz
Fala pessoal boa tarde.
Olha tô passando aqui pra
agradecer de vdd msm 0 Rômulo
porra hoje eu destravei nas
ligações acabei de fazer 10
ligações seguidas sem medo sem
pressão.
E sério msm hoje eu venci um
medo de mais de 2 anos e sei que
bicho papão era coisa da minha
0
cabeça.
Então se eu posso passar aqui uma
recomendação quem for nesse
workshop pergunta e fala porque
eu posso falar os melhores 50 reais
que eu ja investi na vida.
De vdd so tenho a agradecer.
4","destrava, ligações, superação, workshop, ROI emocional",destravamento; ligacoes; valor_rs; workshop,0,,,
DEP-019,hero,metricas,primeiro-contrato-menos-1-semana,,comp-b,comp05,depoimentos-2026-ready/hero/hero_metricas_primeiro-contrato-menos-1-semana_comp-b.png,IMG_2865 (1).PNG,Alex elogia a comunidade e oferece vaga remunerada de prospecção (R$150/venda).,"Alex
Booom diaaa, Abençoados
Comunidade fera demais, só gente
de excelência, Parabéns @Rômulo
Freitas pelo trabalho.
Estou em busca de uma pessoa
que faça prospecção ativa e
agende reuniões alinhado com ICP
da empresa, cada agendamento
com venda concluída a empresa
paga R$ 150,00 por venda.
Agendando 10 Reuniões na
semana e todas as reuniões
fecharem vendas, Pix de R$
1.500,00 na conta por semana.
Interessados, chame no privado!
Bora pra cima
A","comunidade, networking, oportunidade, prospecção",reunioes; valor_rs,1,,,
DEP-020,hero,metricas,primeiro-contrato-menos-1-semana,,comp-a,comp05,depoimentos-2026-ready/hero/hero_metricas_primeiro-contrato-menos-1-semana_comp-a.png,IMG_2865.PNG,André Neto fecha o 1º contrato em menos de uma semana na comunidade (R1 → R2 → fechamento).,"André Neto.
Galera; faz nem uma semana que
conheci a comunidade e 0 Rômulo
e já posso agradecer esse primeiro
contrato ao conteúdo e networking
daqui.
Fiz uma R1 na quinta passada; R2 e
fechamento hoje.. passei 0 fim de
poderia
semana fritando em como
apresentar a R2 e 0 que mais fazia
sentido pro lead.","resultados rápidos, contrato, R1/R2, networking, gratidão",,0,,,
DEP-021,hero,metricas,profissional-de-vendas-b2b-elogia-o-romu,,,,depoimentos-2026-ready/hero/hero_metricas_profissional-de-vendas-b2b-elogia-o-romu.png,IMG_7002.PNG,Profissional de vendas B2B elogia o Rômulo e diz que a abordagem gera muito resultado.,"Passando aqui pra elogiar 0
trabalho do Rômulo!
Você é fera meu amigo!
Atuo com vendas B2B e a forma
como você aborda realmente da
muito resultado!","B2B, resultados, autoridade, elogio",,0,,,
DEP-022,hero,metricas,prova-social-resultado,1,,,depoimentos-2026-ready/hero/hero_metricas_prova-social-resultado_parte-1.png,IMG_2323.PNG,Marcos Diniz diz que voltou à prospecção ativa e fechou negócios para sua incorporadora graças a vídeos/lives.,"Marcos Diniz
U
6o
Confesso que antes de
acompanhar seu canal no YouTube
eu não fazia mais prospecção ativa
por telefone, deixando tudo para
os vendedores e corretores.
Mas hoje, devido aos seus vídeos e
lives, tenho feito mais ligações e
fechado outros tipos de negócios
para minha Incorporadora.
Antes de sermos empresários,
somos vendedores!","resultados, prospecção, imobiliário, gratidão, autoridade",,0,,,
DEP-023,hero,metricas,prova-social-resultado,2,,,depoimentos-2026-ready/hero/hero_metricas_prova-social-resultado_parte-2.png,IMG_2323.PNG,Marcos Diniz diz que voltou à prospecção ativa e fechou negócios para sua incorporadora graças a vídeos/lives.,"Parabéns Rômulo
4","resultados, prospecção, imobiliário, gratidão, autoridade",,0,,,
DEP-024,hero,metricas,regularize-triplicou-faturamento,,,,depoimentos-2026-ready/hero/hero_metricas_regularize-triplicou-faturamento.png,IMG_0580.PNG,"Regularize Health afirma ter **triplicado o faturamento** no mês seguinte aplicando inbound/follow-up do workshop, com gráfico de crescimento.","ucobldksdaoogu
Regularize Health
Linha
Recebidas
Barra
0
Confl
00o
500
500
01/2026
02/2026
03/2026
04/2026
Pessoal!
Passando apenas para deixar um
depoimento sobre 0 workshop pra
quem ainda não participou.
Desde quando começamos colocar
prática os conceitos do
em
Rômulo Freitas apenas
aplicando no inbound e follow-up
triplicamos nosso faturamento já
no mês seguinte
REGULARIZE","resultado_financeiro, metodo_funcionou, prova_social, inbound_followup",triplicou; workshop,0,,,
DEP-025,hero,metricas,resultado-agendamento,,,,depoimentos-2026-ready/hero/hero_metricas_resultado-agendamento.png,IMG_6372.PNG,"Superou o frio na barriga, agendou 3 reuniões e maratonou a live #97.","Ô Zé, fazer ligações da um frio na
barriga danado. Ignorei todo
pensamento de ""não"" que eu podia
levar. Fiz as ligações agora a tarde
agendei 3 reuniões depois de
qualificar os leads.
Tem mais uns 3 que estão pra me
dar a resposta, esses não teve jeito
tive que mandar los pro WhatsApp
Eu nem sou mineiro; mas hj eu
maratonei a live #97, 5 hrs da
manhã. Agora tô ate com teu
sotaque kkkkk","superação, resultado, agendamento, esforço",reunioes,0,,,
DEP-026,hero,metricas,resultado-ligacoes,,,,depoimentos-2026-ready/hero/hero_metricas_resultado-ligacoes.png,IMG_7202.PNG,Aluno conta recomeço de carreira: após aula/YouTube agendou 3 reuniões e avançou uma para R2.,"recomeço na carreira. Ja trapainei
vendas, mas em contextos
com
bem diferentes
prospectar;
agendar reunião; conduzir esse
início de conversa era totalmente
novo pra mim.
Passei 0 mês inteiro tentando
replicar 0 que via por aí e não fluía.
Já tava começando a perder a
esperança; sendo bem sincero.
De domingo pra cá, só com
YouTube e uma aula que assisti,
encontrei meu estilo. O jogo virou.
Resultado: agendei 3 reuniões; fiz
uma R1 hoje que já abriu espaço
pra R2. começou a fluir de
verdade.
Tenho muito a evoluir ainda, mas
agora sei que tô no caminho certo.","superação, resultados, reuniões, YouTube, motivação",reunioes,0,,,
DEP-027,hero,workshop,leandro-diz-que-aula-de-2h-entregou-mais,,,,depoimentos-2026-ready/hero/hero_workshop_leandro-diz-que-aula-de-2h-entregou-mais.png,IMG_3378.PNG,Leandro diz que aula de 2h entregou mais que cursos pagos (comparação “20%”).,"Leandro Cardoso
~
0
Quero te agradecer
RÜmulo
Freitas, hoje foi um divisor de
águas na nossa conversa; olha
muito conteúdo pago que não
entregou 20% do que recebi hoje
seu, uma aula de 2 horas, que
tenho a certeza de voltar na
próxima sala com reuniões
agendadas!!","autoridade, conteúdo premium, gratidão, expectativa superada",,0,,,
DEP-028,hero,workshop,participantes-exaltam-o-workshop-como-o,1,,,depoimentos-2026-ready/hero/hero_workshop_participantes-exaltam-o-workshop-como-o_parte-1.png,IMG_4416.PNG,"Participantes exaltam o workshop como o melhor conteúdo visto, com muita entrega.","Comunidade Pódium: Cons..-
84
COMUNIDADE
21 online
PÓDIUM
https:llworkshop.mundopodium combr
atuando; ainda não tenho metrica
nenhuma para avaliar.
Workshop Concluído!
Mais um
Muito Obrigado pela Confiança
Turma!
16.43","workshop, entusiasmo, autoridade, comparação de mercado",workshop,0,,,
DEP-029,hero,workshop,participantes-exaltam-o-workshop-como-o,2,,,depoimentos-2026-ready/hero/hero_workshop_participantes-exaltam-o-workshop-como-o_parte-2.png,IMG_4416.PNG,"Participantes exaltam o workshop como o melhor conteúdo visto, com muita entrega.","José Oliveira
Foi MASSA demais ""
Conteúdo absurdo.
16.44
Muita entrega'!
Mensagem não lida:","workshop, entusiasmo, autoridade, comparação de mercado",workshop,0,,,
DEP-030,hero,workshop,participantes-exaltam-o-workshop-como-o,3,,,depoimentos-2026-ready/hero/hero_workshop_participantes-exaltam-o-workshop-como-o_parte-3.png,IMG_4416.PNG,"Participantes exaltam o workshop como o melhor conteúdo visto, com muita entrega.","Gilson Cas
Rômulo Freitas parabéns, meu
amigo.
Vou sensacional, de verdade.
Eu já vi muita coisa por aí, mas 0
teu foi 0 melhor.
A maioria é só 3 CPLs com pitch no
final kkkk
parei até de fazer minhas
teu
0
eu
coisas aqui pra prestar atencão.","workshop, entusiasmo, autoridade, comparação de mercado",workshop,1,,,
DEP-031,hero,workshop,participantes-exaltam-o-workshop-como-o,4,,,depoimentos-2026-ready/hero/hero_workshop_participantes-exaltam-o-workshop-como-o_parte-4.png,IMG_4416.PNG,"Participantes exaltam o workshop como o melhor conteúdo visto, com muita entrega.","coisas aqui pra prestar atenção.
Parabéns
Estou voltando","workshop, entusiasmo, autoridade, comparação de mercado",workshop,0,,,
DEP-032,gallery,comunidade,afonso-gomes-elogia-o-carater-do-romulo,,,,depoimentos-2026-ready/gallery/gallery_comunidade_afonso-gomes-elogia-o-carater-do-romulo.png,IMG_7875.PNG,"Afonso Gomes elogia o caráter do Rômulo (“gente boa”, coração humilde).","Afonso Gomes
Tudo tem 0 começo
Rômulo é gente boa
19:711
Coração humilde dá pra notar","caráter, confiança, conexão-pessoal, soft-proof",,0,,,
DEP-033,gallery,comunidade,aluno-brinca-que-vai-pedir-truco-e-se-id,,,,depoimentos-2026-ready/gallery/gallery_comunidade_aluno-brinca-que-vai-pedir-truco-e-se-id.png,IMG_6863.PNG,Aluno brinca que vai “pedir truco” e se identifica como vendedor paulista.,"No último item eu vou ser obrigado
pedir truco!
a
Sou vendedor paulista e bixo pega
ein
2","humor, engajamento, comunidade, persona-vendedor",,0,,,
DEP-034,gallery,comunidade,aluno-conta-que-a-esposa-o-pegou-imitand,,,,depoimentos-2026-ready/gallery/gallery_comunidade_aluno-conta-que-a-esposa-o-pegou-imitand.png,IMG_2386.PNG,Aluno conta que a esposa o pegou imitando o bordão “aqui é Rômulo de BH”.,"Rapaz, minha esposa hj perguntou
se eu estava louco, pegou eu te
imitando kkkk.. .""aqui é Rômulo de
cara, grudou na mente
BH","humor, memorabilidade, influência, engajamento",,0,,,
DEP-035,gallery,comunidade,aluno-novo-elogia-a-sintonia-e-o-valor-d,,,,depoimentos-2026-ready/gallery/gallery_comunidade_aluno-novo-elogia-a-sintonia-e-o-valor-d.png,IMG_2904.PNG,Aluno novo elogia a sintonia e o valor do grupo desde o primeiro dia.,"Entrei hoje de manhã e já percebi a
sintonia do pessoal se ajudando;
tem valor demais esse grupo seu.","comunidade, networking, valor, acolhimento",,0,,,
DEP-036,gallery,comunidade,apos-live-emocional-membros-reforcam-con,1,,,depoimentos-2026-ready/gallery/gallery_comunidade_apos-live-emocional-membros-reforcam-con_parte-1.png,IMG_3430.PNG,"Após live emocional, membros reforçam conexão, jornada compartilhada e esperança.","Comunidade Pódium: C.-
157
COMUNIDADE
PODIUM
47 online
Hoje
Desculpem a emoção no final da
Live pessoal, espero que tenha
ajudado!!
Gabriel Sani
Você
Desculpem a emoção no final da Live
pessoal, espero que tenha ajudado!!
mas é isso que conecta mais a
gente com você, estamos todos na
mesma jornada
fiel saiu
Deus","conexão, inspiração, live, comunidade, emoção",,2,,,
DEP-037,gallery,comunidade,apos-live-emocional-membros-reforcam-con,2,,,depoimentos-2026-ready/gallery/gallery_comunidade_apos-live-emocional-membros-reforcam-con_parte-2.png,IMG_3430.PNG,"Após live emocional, membros reforçam conexão, jornada compartilhada e esperança.","João Barb
Você
Desculpem a emoção no final da Live
pessoal, espero que tenha ajudado!!
Live muito fera. Eeu acho que
todos nós estamos passando ou já
passamos por algo parecido ao
que você passou.
Ao meu ver; você contando é uma
esperança de que se você
conseguiu outra pessoa consegue,
mas tem que ter garra!
16.33","conexão, inspiração, live, comunidade, emoção",,1,,,
DEP-038,gallery,comunidade,bruno-henrique-da-nota-1000-e-chama-a-en,,,,depoimentos-2026-ready/gallery/gallery_comunidade_bruno-henrique-da-nota-1000-e-chama-a-en.png,IMG_9668.PNG,Bruno Henrique dá “nota 1000” e chama a entrega de absurda.,"Bruno Henrique
@ucoIOOQOO
Rômulo como sempre, nota 1000!
Entrega absurda!","nota máxima, entrega, consistência, elogio curto",,0,,,
DEP-039,gallery,comunidade,ce-e-bom-demais-bicho,,,,depoimentos-2026-ready/gallery/gallery_comunidade_ce-e-bom-demais-bicho.png,IMG_2427.PNG,Elogio curto e informal: “ce é bom demais bicho”.,ce é bom demais bicho,"elogio, informal, prova social rápida",,0,,,
DEP-040,gallery,comunidade,cliente-agradece-pelos-ensinamentos-e-pa,,,,depoimentos-2026-ready/gallery/gallery_comunidade_cliente-agradece-pelos-ensinamentos-e-pa.png,IMG_8583.PNG,Cliente agradece pelos ensinamentos e parabeniza a missão de ajudar pessoas.,"gratidão pelos seus
e
ensinamentos
10.53
parabéns pelo excelente trabalho e
missão em ajudar as pessoas","gratidão, missão, elogio, crop curto",,0,,,
DEP-041,gallery,comunidade,cliente-apollo-agradece-romulo-pela-aten,,,,depoimentos-2026-ready/gallery/gallery_comunidade_cliente-apollo-agradece-romulo-pela-aten.png,IMG_0099.PNG,Cliente (Apollo) agradece Rômulo pela atenção aos detalhes e por ajudá-los a superar limites; diz que o dia foi “muito fera”.,"Apollo
Ac
Rômulo.
Muito obrigado por pensar em nós
em casa detalhe. Obrigado por nos
guiar para uma superar nossos
limites. Que tenhamos sempre seu
apoio.  Tmjj. Hoje foi muito ferall!!","agradecimento, superacao, prova_social, apoio_individualizado",,1,,,
DEP-042,gallery,comunidade,cliente-se-identifica-com-o-mentor-pelos,,,,depoimentos-2026-ready/gallery/gallery_comunidade_cliente-se-identifica-com-o-mentor-pelos.png,IMG_7496.PNG,Cliente se identifica com o mentor pelos valores de família e pelo “jeito mineiro”.,"Tu é um cara bem família, gerei
identificação contigo por causa
disso
do jeito mineiro; meu
também
pai
e","conexão, branding-pessoal, confiança, soft-proof",mentoria,0,,,
DEP-043,gallery,comunidade,comentario-sobre-confianca-preview-do-re,1,,,depoimentos-2026-ready/gallery/gallery_comunidade_comentario-sobre-confianca-preview-do-re_parte-1.png,IMG_6167.PNG,Comentário sobre confiança + preview do reel de gatekeeper; autor valida.,"POV: ""Não tem nenhum
Pedro aqui não"" #
88.56
Comentários
informação
Responder
weellington.g 3 sem
pelo
autor
Isso é tão simples e as pessoas não usam
kkkk é a mesma coisa de você entrar em
23
confiança; ninguém te
um ambiente com
para e questiona","confiança, gatekeeper, prova social, engajamento",,0,,,
DEP-044,gallery,comunidade,comentario-sobre-confianca-preview-do-re,2,,,depoimentos-2026-ready/gallery/gallery_comunidade_comentario-sobre-confianca-preview-do-re_parte-2.png,IMG_6167.PNG,Comentário sobre confiança + preview do reel de gatekeeper; autor valida.,"para e questiona
Responder
Ocultar
romulocsfreitas
Autor
3 sem
@weellington.g Exatamentel!
Responder
pelo
callmee eric 3 sem
autor
Adicione um comentário.","confiança, gatekeeper, prova social, engajamento",,0,,,
DEP-045,gallery,comunidade,concorda-que-no-mercado-emocao-vira-fraq,,,,depoimentos-2026-ready/gallery/gallery_comunidade_concorda-que-no-mercado-emocao-vira-fraq.png,IMG_3628.PNG,Concorda que no mercado emoção vira fraqueza e exige equilíbrio razão/instinto.,"""Pura verdade! No mercado,
emoção vira fraqueza. Quem sente
demais acaba sendo engolido
porque ali tudo funciona como um
leão faminto: rápido; frio e
impiedoso. No
fim,
sobreviver é
saber equilibrar razão; instinto e
emoção
mas sempre com os pés
no chão""","mentalidade, realismo, mercado, equilíbrio",,0,,,
